epoch,fixed_epoch_reward,total_epoch_weight,actual_rewarded_coins,expected_reward_base_units,compensation_base_units,approximation_used
247,287379121027086,881604,253848231982387,36014151534353,15021814821939,False
248,287242648359423,858277,129460782401156,247008523545220,117547741144064,False
249,287106240500883,740094,190086354894340,263159578158118,73073223263778,False
250,286969897420690,792073,252497917148785,282179535946778,29681618797993,False
251,286833619088082,709500,275283461938874,283000681043552,7717219104678,False
252,286697405472310,674940,273630912317725,281740285251423,8109372933698,False
253,286561256542641,823500,275402940510685,278207656634221,2804716123536,False
254,286425172268357,1028204,219006319815693,229359036885622,10352717069929,False
255,286289152618754,1185640,245807020349245,250076583451537,4269563102292,False
