node,epoch,label,model_id,epoch_group_id,number_of_requests,previous_epoch_requests,validation_weights_count,signature_count,nonempty_signature_count,signed_weight_address_count,signature_only_count,weight_only_count,validation_binom_test_p0,validation_miss_percentage_cutoff
http://node1.gonka.ai:8000,269,epoch_group_data,,1045,0,2293,58,58,58,58,0,0,0.100000000,0.010000000
http://node1.gonka.ai:8000,269,epoch_group_data_model,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1046,0,0,36,36,36,36,0,0,,
http://node1.gonka.ai:8000,269,epoch_group_data_model,moonshotai/Kimi-K2.6,1047,0,0,30,30,30,30,0,0,,
http://node1.gonka.ai:8000,270,epoch_group_data,,1048,0,0,49,49,49,49,0,0,0.100000000,0.010000000
http://node1.gonka.ai:8000,270,epoch_group_data_model,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1049,0,0,32,32,32,32,0,0,,
http://node1.gonka.ai:8000,270,epoch_group_data_model,moonshotai/Kimi-K2.6,1050,0,0,23,23,23,23,0,0,,
http://node1.gonka.ai:8000,271,epoch_group_data,,1051,0,0,49,49,49,49,0,0,0.100000000,0.010000000
http://node1.gonka.ai:8000,271,epoch_group_data_model,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1052,0,0,34,34,34,34,0,0,,
http://node1.gonka.ai:8000,271,epoch_group_data_model,moonshotai/Kimi-K2.6,1053,0,0,23,23,23,23,0,0,,
http://node1.gonka.ai:8000,272,epoch_group_data,,1054,0,0,50,50,50,50,0,0,0.100000000,0.010000000
http://node1.gonka.ai:8000,272,epoch_group_data_model,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1055,0,0,35,35,35,35,0,0,,
http://node1.gonka.ai:8000,272,epoch_group_data_model,moonshotai/Kimi-K2.6,1056,0,0,23,23,23,23,0,0,,
http://node2.gonka.ai:8000,269,epoch_group_data,,1045,0,2293,58,58,58,58,0,0,0.100000000,0.010000000
http://node2.gonka.ai:8000,269,epoch_group_data_model,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1046,0,0,36,36,36,36,0,0,,
http://node2.gonka.ai:8000,269,epoch_group_data_model,moonshotai/Kimi-K2.6,1047,0,0,30,30,30,30,0,0,,
http://node2.gonka.ai:8000,270,epoch_group_data,,1048,0,0,49,49,49,49,0,0,0.100000000,0.010000000
http://node2.gonka.ai:8000,270,epoch_group_data_model,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1049,0,0,32,32,32,32,0,0,,
http://node2.gonka.ai:8000,270,epoch_group_data_model,moonshotai/Kimi-K2.6,1050,0,0,23,23,23,23,0,0,,
http://node2.gonka.ai:8000,271,epoch_group_data,,1051,0,0,49,49,49,49,0,0,0.100000000,0.010000000
http://node2.gonka.ai:8000,271,epoch_group_data_model,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1052,0,0,34,34,34,34,0,0,,
http://node2.gonka.ai:8000,271,epoch_group_data_model,moonshotai/Kimi-K2.6,1053,0,0,23,23,23,23,0,0,,
http://node2.gonka.ai:8000,272,epoch_group_data,,1054,0,0,50,50,50,50,0,0,0.100000000,0.010000000
http://node2.gonka.ai:8000,272,epoch_group_data_model,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1055,0,0,35,35,35,35,0,0,,
http://node2.gonka.ai:8000,272,epoch_group_data_model,moonshotai/Kimi-K2.6,1056,0,0,23,23,23,23,0,0,,
